Inventory of Supplies as of September 21, 2017

Item #        Qty       Unit       PC #                    Description                  Location
1            1         pc         1234             House and Lot                        Balay                         
2            1         pc         1235             Car with Airplane                    Garage                        
3            1         pc         1236             Laptop                               Bulsa                         
4            1         pc         1237             Keyboard                             Balay                         
5            1         pc         1238             Mouse                                Balay                         
6            1         pc         1240             Charger w/ Rice Cooker               Bag                           
7            1         pc         1241             Bag Addidas                          Balay                         
8            1         pc         1242             Bag Nike                             Bulsa                         
9            1         pc         1243             Remote                               Desk                          
10           1         pc         1244             Television                           Desk                          
11           1         pc         1245             Cube                                 Desk                          
